Work Program Group,Work Program,Unit,Fiscal Year,"Bank Budget (BB) (US$, Millions)","All Funds (US$, Millions)",External Budget,Percentage of External Budget,Funding Source Evaluation,Work Program Group Abbreviation,Work Program Abbreviation
"Institutional, Governance and Administrative Services",Institutional Services,Operational Policy & Country Services,2020,55.3,55.8,0.5,0.9041591320072333,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,"Strategy, Performance, and Adminstration",2020,10.7,14.0,3.3000000000000007,30.841121495327112,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Treasury,2020,34.7,87.2,52.5,151.29682997118155,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,WBG Finance & Accounting,2020,47.0,56.4,9.399999999999999,20.0,Ideal,IGAS,IS
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2020,30.0,30.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Development Grant Facility,2020,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Global Partnership for Social Accountability,2020,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Institutional Development Fund,2020,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,State and Peace Building Fund,2020,5.0,5.0,0.0,0.0,Ideal,OGMF,OGMF
Program and Practice Management,Practice Groups Program & Practice Management,"Equitable Growth, Finance and Institutions",2020,84.0,94.6,10.599999999999994,12.619047619047613,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Practice,2020,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Themes,2020,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Human Development,2020,43.6,98.7,55.1,126.37614678899082,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Infrastructure,2020,37.1,52.3,15.199999999999996,40.970350404312654,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Other Operational Support,2020,75.1,78.3,3.200000000000003,4.260985352862854,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Sustainable Development,2020,82.5,124.1,41.599999999999994,50.424242424242415,Not Ideal,PPM,PGPPM
Program and Practice Management,Regions Program & Practice Management,Africa,2020,128.6,135.8,7.200000000000017,5.598755832037339,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,East Asia & Pacific,2020,61.7,65.1,3.3999999999999915,5.510534846029159,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Europe & Central Asia,2020,55.4,56.1,0.7000000000000028,1.2635379061371892,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Latin America & Caribbean,2020,56.9,60.3,3.3999999999999986,5.975395430579963,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Middle East & North Africa,2020,36.5,38.7,2.200000000000003,6.027397260273981,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,South Asia,2020,55.7,57.9,2.1999999999999957,3.949730700179525,Ideal,PPM,RPPM
Client Engagement,Country Engagement,Africa,2021,22.75,33.7,10.950000000000003,48.131868131868146,Ideal,CE,CE
Client Engagement,Country Engagement,Africa East,2021,168.7,321.5,152.8,90.57498518079431,Not Ideal,CE,CE
Client Engagement,Country Engagement,Africa West,2021,168.6,247.3,78.70000000000002,46.67852906287071,Ideal,CE,CE
Client Engagement,Country Engagement,East Asia & Pacific,2021,120.6,254.9,134.3,111.3598673300166,Not Ideal,CE,CE
Client Engagement,Country Engagement,Europe & Central Asia,2021,96.7,208.5,111.8,115.6153050672182,Not Ideal,CE,CE
Client Engagement,Country Engagement,Latin America & Caribbean,2021,110.8,177.6,66.8,60.28880866425993,Not Ideal,CE,CE
Client Engagement,Country Engagement,Middle East & North Africa,2021,72.1,171.0,98.9,137.1705963938974,Not Ideal,CE,CE
Client Engagement,Country Engagement,Other Operational Units' Allocations,2021,12.3,89.6,77.3,628.4552845528455,Not Ideal,CE,CE
Client Engagement,Country Engagement,South Asia,2021,147.8,239.4,91.6,61.97564276048714,Not Ideal,CE,CE
Client Engagement,Global Engagement,Global Engagement,2021,95.5,287.5,192.0,201.04712041884815,Not Ideal,CE,GE
Program and Practice Management,Regions Program & Practice Management,Africa,2021,22.75,33.7,10.950000000000003,48.131868131868146,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Africa East,2021,89.7,101.2,11.5,12.82051282051282,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Africa West,2021,79.3,81.5,2.200000000000003,2.77427490542245,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,East Asia & Pacific,2021,79.3,91.7,12.400000000000006,15.636822194199251,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Europe & Central Asia,2021,68.4,73.5,5.099999999999994,7.456140350877185,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Latin America & Caribbean,2021,68.0,70.5,2.5,3.6764705882352944,Ideal,PPM,RPPM
"Institutional, Governance and Administrative Services",Institutional Services,"Leadership, Learning & Innovation",2021,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
Program and Practice Management,Regions Program & Practice Management,Middle East & North Africa,2021,48.6,53.0,4.399999999999999,9.053497942386828,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,South Asia,2021,73.4,76.6,3.1999999999999886,4.359673024523144,Ideal,PPM,RPPM
Operational Grant Making Facilities,Operational Grant Making Facilities,Development Grant Facility,2021,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Institutional Development Fund,2021,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Program and Practice Management,Practice Groups Program & Practice Management,Global Practice,2021,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,"Equitable Growth, Finance and Institutions",2021,34.0,48.7,14.700000000000003,43.235294117647065,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Human Development,2021,15.7,30.0,14.3,91.08280254777071,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Infrastructure,2021,17.9,34.8,16.9,94.41340782122904,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Sustainable Development,2021,26.7,91.5,64.8,242.69662921348316,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Other Operational Support,2021,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Themes,2021,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Other Operational Support Program & Practice Management,Other Operational Support Program & Practice Management,2021,107.9,146.8,38.900000000000006,36.0518999073216,Ideal,PPM,OPSPPM
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2021,30.0,30.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,State and Peace Building Fund,2021,5.0,5.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Global Partnership for Social Accountability,2021,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
"Institutional, Governance and Administrative Services",Institutional Services,"Budget, Performance & Strategy",2021,78.6,78.7,0.10000000000000853,0.12722646310433655,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Financing for Development,2021,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Chief Risk Office,2021,21.0,21.7,0.6999999999999993,3.33333333333333,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Development Economics,2021,55.1,115.9,60.800000000000004,110.34482758620689,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Development Finance,2021,25.3,32.1,6.800000000000001,26.877470355731226,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,External & Corporate Relations,2021,83.5,87.4,3.9000000000000057,4.670658682634738,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Global Environment Fund,2021,0.0,36.0,36.0,inf,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,International Centre for Settlement of Investment Disputes,2021,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Legal Services,2021,40.3,42.2,1.9000000000000057,4.714640198511181,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,CMP-Data Privacy Office,2021,1.9,1.9,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Operational Policy & Country Services,2021,47.3,47.5,0.20000000000000284,0.42283298097252187,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,"Strategy, Performance, and Adminstration",2021,11.2,14.9,3.700000000000001,33.0357142857143,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Treasury,2021,34.8,90.0,55.2,158.62068965517244,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,WBG Finance & Accounting,2021,48.9,55.6,6.700000000000003,13.701431492842541,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Governance Services,Administrative Tribunal,2021,1.9,2.4,0.5,26.31578947368421,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Board,2021,84.7,84.7,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Internal Justice Services,2021,4.7,6.3,1.5999999999999996,34.042553191489354,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Corporate Secretariat,2021,21.6,23.0,1.3999999999999986,6.481481481481474,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Independent Evaluation Group,2021,28.6,37.4,8.799999999999997,30.76923076923076,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Accountability Mechanism,2021,5.0,5.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Integrity Vice Presidency,2021,21.7,21.9,0.1999999999999993,0.9216589861751119,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Group Internal Audit,2021,9.0,12.0,3.0,33.33333333333333,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2021,6.5,8.8,2.3000000000000007,35.3846153846154,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2021,5.5,5.5,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2021,1.8,1.8,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2021,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2021,5.3,5.3,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2021,2.9,2.9,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2021,3.5,3.5,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2021,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Development Policy And Partnerships",2021,2.9,4.3,1.4,48.275862068965516,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2021,2.0,2.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Strategic Initiatives Unit,2021,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2021,148.8,193.6,44.79999999999998,30.107526881720414,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,People and Culture,2021,56.8,87.2,30.400000000000006,53.5211267605634,Not Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Health and Safety Directorate,2021,9.3,12.9,3.5999999999999996,38.70967741935483,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2021,252.0,313.5,61.5,24.404761904761905,Ideal,IGAS,AS
Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,2021,119.2,119.7,0.5,0.41946308724832215,Ideal,CMAMP,CMAMP
Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,2022,91.6,92.1,0.5,0.5458515283842795,Ideal,CMAMP,CMAMP
Client Engagement,Country Engagement,Latin America & Caribbean,2022,115.0,181.5,66.5,57.826086956521735,Not Ideal,CE,CE
Client Engagement,Country Engagement,Middle East & North Africa,2022,76.3,174.7,98.39999999999999,128.9646133682831,Not Ideal,CE,CE
Client Engagement,Country Engagement,South Asia,2022,158.7,249.8,91.10000000000002,57.40390674228105,Not Ideal,CE,CE
Client Engagement,Country Engagement,Other Operational Units' Allocations,2022,14.1,91.0,76.9,545.3900709219859,Not Ideal,CE,CE
Client Engagement,Country Engagement,Africa,2022,22.75,33.7,10.950000000000003,48.131868131868146,Ideal,CE,CE
Client Engagement,Country Engagement,Africa East,2022,181.3,333.3,152.0,83.83894098179812,Not Ideal,CE,CE
Client Engagement,Country Engagement,Africa West,2022,181.9,260.1,78.20000000000002,42.990654205607484,Ideal,CE,CE
Client Engagement,Country Engagement,East Asia & Pacific,2022,127.0,260.6,133.60000000000002,105.19685039370081,Not Ideal,CE,CE
Client Engagement,Country Engagement,Europe & Central Asia,2022,100.0,211.3,111.30000000000001,111.30000000000003,Not Ideal,CE,CE
Client Engagement,Global Engagement,Global Engagement,2022,99.4,290.4,190.99999999999997,192.15291750503013,Not Ideal,CE,GE
"Institutional, Governance and Administrative Services",Institutional Services,"Budget, Performance & Strategy",2022,79.7,79.9,0.20000000000000284,0.25094102885822184,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Chief Risk Office,2022,21.4,22.4,1.0,4.672897196261683,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,CMP-Data Privacy Office,2022,2.2,2.2,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Development Economics,2022,55.9,112.5,56.6,101.25223613595706,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Development Finance,2022,27.4,34.9,7.5,27.37226277372263,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,External & Corporate Relations,2022,83.4,88.5,5.099999999999994,6.115107913669057,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Financing for Development,2022,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Global Environment Fund,2022,0.0,36.0,36.0,inf,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,International Centre for Settlement of Investment Disputes,2022,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,"Leadership, Learning & Innovation",2022,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Legal Services,2022,42.1,44.0,1.8999999999999986,4.5130641330166235,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Operational Policy & Country Services,2022,47.3,47.3,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,"Strategy, Performance, and Adminstration",2022,11.3,15.4,4.1,36.28318584070796,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Treasury,2022,36.0,93.9,57.900000000000006,160.83333333333334,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,WBG Finance & Accounting,2022,48.6,55.4,6.799999999999997,13.991769547325097,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Governance Services,Administrative Tribunal,2022,2.0,2.6,0.6000000000000001,30.000000000000004,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Board,2022,85.6,85.6,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Internal Justice Services,2022,5.3,6.8,1.5,28.30188679245283,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Corporate Secretariat,2022,21.2,22.3,1.1000000000000014,5.188679245283026,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Group Internal Audit,2022,9.4,12.5,3.0999999999999996,32.97872340425532,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Independent Evaluation Group,2022,29.0,38.5,9.5,32.758620689655174,Ideal,IGAS,GS
Operational Grant Making Facilities,Operational Grant Making Facilities,State and Peace Building Fund,2022,5.0,5.0,0.0,0.0,Ideal,OGMF,OGMF
"Institutional, Governance and Administrative Services",Governance Services,Accountability Mechanism,2022,5.9,5.9,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Integrity Vice Presidency,2022,21.6,21.8,0.1999999999999993,0.9259259259259226,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2022,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2022,6.3,8.9,2.6000000000000005,41.26984126984128,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Development Policy And Partnerships",2022,3.8,6.3,2.5,65.78947368421053,Not Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2022,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2022,1.9,1.9,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2022,3.0,3.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2022,3.0,3.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2022,5.3,5.3,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2022,5.3,5.3,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2022,2.0,2.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Strategic Initiatives Unit,2022,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2022,150.9,187.7,36.79999999999998,24.387011265738888,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Health and Safety Directorate,2022,9.3,13.0,3.6999999999999993,39.78494623655913,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,People and Culture,2022,58.3,90.6,32.3,55.40308747855918,Not Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2022,257.4,319.1,61.700000000000045,23.97047397047399,Ideal,IGAS,AS
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2022,30.0,30.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Development Grant Facility,2022,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Global Partnership for Social Accountability,2022,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Institutional Development Fund,2022,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Program and Practice Management,Regions Program & Practice Management,Africa,2022,22.75,33.7,10.950000000000003,48.131868131868146,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Africa East,2022,89.8,101.3,11.5,12.806236080178174,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Africa West,2022,79.4,81.7,2.299999999999997,2.8967254408060414,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,East Asia & Pacific,2022,79.5,91.8,12.299999999999997,15.471698113207545,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Europe & Central Asia,2022,68.4,73.4,5.0,7.309941520467836,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Latin America & Caribbean,2022,68.1,70.6,2.5,3.671071953010279,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Middle East & North Africa,2022,48.9,53.3,4.399999999999999,8.997955010224947,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,South Asia,2022,73.6,76.8,3.200000000000003,4.347826086956526,Ideal,PPM,RPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Practice,2022,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,"Equitable Growth, Finance and Institutions",2022,33.7,48.3,14.599999999999994,43.3234421364985,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Human Development,2022,15.5,29.8,14.3,92.25806451612904,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Infrastructure,2022,18.3,35.0,16.7,91.25683060109289,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Sustainable Development,2022,26.5,91.0,64.5,243.39622641509436,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Other Operational Support,2022,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Themes,2022,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
